Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,
catgup,6,2,"6,781","1,356.20","1,347",838.429,333.395,-0.266,28,0.824,0.178096095
digar,5,1,"6,274","1,568.50","1,505",779.452,281.676,0.178,31,0.912,0.92874124
reloant,7,1,"14,666","2,444.33","2,771",798.567,211.336,-0.041,30,0.882,0.718968625
pircus,6,1,"4,187",837.4,963,713.267,190.902,0.237,30,0.938,0.20306683
omners,6,1,"11,184","2,236.80","1,903",889.767,294.83,-0.335,30,0.857,0.749319784
elvisages,9,1,"12,587","1,573.38","1,420",696.516,184.846,0.065,31,0.939,0.119711146
scrib,5,1,"4,941","1,235.25",881,898,218.326,-0.784,21,0.618,0.533213447
tasher,6,2,"12,535","2,507.00","2,362",777.938,315.91,0.061,32,0.941,0.221064173
dounger,7,2,"15,411","2,568.50","2,328",732.438,255.943,0.107,32,0.97,0.427009574
passet,6,3,"7,506","1,501.20","1,991",858.524,333.693,-0.128,21,0.7,0.28149209
phraining,9,0,"24,058","3,007.25","3,568",778.75,288.97,-0.027,32,0.97,0.927006468
moozy,5,3,"1,950",487.5,885,728.586,200.986,-0.071,29,0.906,0.744509053
flacked,7,5,"10,281","1,713.50","2,409",747.429,219.874,-0.381,14,0.438,0.237514929
flooted,7,3,"12,653","2,108.83","2,320",892.952,248.36,-0.589,21,0.656,0.034406048
withep,6,1,"6,391","1,278.20",998,786.438,298.234,0.023,32,0.97,0.27145426
puggers,7,2,"9,794","1,632.33","2,344",935,450.835,-0.307,31,0.969,0.923592894
elpired,7,1,"12,474","2,079.00","1,559",729.5,200.683,0.127,32,0.97,0.922570432
slears,6,2,"10,095","2,019.00","1,328",791.267,334.043,0.059,30,0.909,0.033081895
pammed,6,4,"8,651","1,730.20","1,975",811.867,261.316,-0.056,30,0.938,0.294755733
huffle,6,2,"4,707",941.4,"1,135",852.75,310.482,-0.182,24,0.774,0.041490485
zears,5,9,"6,753","1,688.25","1,332",761.448,173.562,0.049,29,0.879,0.837254115
fullity,7,1,"8,688","1,448.00","1,726",890.654,288.579,-0.34,26,0.788,0.748576668
praiged,7,1,"11,887","1,981.17","2,970",831.625,302.311,-0.099,32,0.969,0.752887365
drauns,6,1,"7,686","1,537.20","1,368",688.741,174.714,0.216,27,0.818,0.747229333
blerapies,9,0,"21,304","2,663.00","2,024",770.545,250.656,0.02,33,0.971,0.818028657
teliever,8,1,"18,673","2,667.57","2,029",860.333,390.226,-0.169,33,1,0.585187568
metrol,6,1,"8,224","1,644.80","1,544",820.708,262.613,-0.091,24,0.727,0.112069603
miurnal,7,1,"7,745","1,290.83","1,163",898.167,414.074,-0.097,30,0.938,0.374445276
baladroit,9,1,"11,977","1,497.13","1,664",763.545,232.676,-0.016,33,0.971,0.394192507
mogus,5,2,"3,315",828.75,776,660.094,140.386,0.094,32,0.941,0.743210678
fravity,7,1,"7,517","1,252.83","1,680",905.067,293.576,-0.181,30,0.857,0.274203909
kraums,6,1,"4,431",886.2,"1,006",638.844,178.026,0.483,32,0.97,0.914342482
begut,5,3,"2,611",652.75,790,749.6,292.491,0.036,30,0.882,0.701683451
bentler,7,1,"17,690","2,948.33","3,207",822.481,256.743,-0.216,27,0.844,0.251576604
frogmy,6,1,"3,187",637.4,"1,161",777.414,308.833,0.074,29,0.935,0.593089999
bingu,5,2,"11,809","2,952.25","1,117",752.758,183.122,0.089,33,1,0.58318084
halents,7,1,"15,465","2,577.50","2,218",717.8,145.104,0.102,30,0.909,0.717394824
peadgear,8,1,"10,658","1,522.57","2,005",890.3,378.299,-0.482,30,0.968,0.433930702
duries,6,4,"10,329","2,065.80","1,816",873.852,302.624,-0.203,27,0.844,0.01056698
nores,5,9,"12,584","3,146.00","2,001",865.062,276.733,-0.185,32,0.941,0.817271325
sunhess,7,1,"10,624","1,770.67","2,091",916.516,343.287,-0.276,31,0.969,0.147608165
hanling,7,3,"18,314","3,052.33","3,421",743.935,290.123,0.078,31,0.912,0.777809278
plapping,8,3,"15,810","2,258.57","2,947",862.182,291.544,-0.192,33,0.97,0.065822029
metebing,8,1,"19,159","2,737.00","3,252",783.353,263.468,0.026,34,1,0.190621252
crudios,7,0,"7,047","1,174.50","1,112",744.562,366.435,0.118,32,0.941,0.074102236
earterner,9,1,"25,250","3,156.25","4,028","1,003.19",303.152,-0.815,31,1,0.780192538
lenie,5,2,"10,003","2,500.75","1,189",765.875,224.321,0.137,32,0.97,0.848323457
deakers,7,2,"13,276","2,212.67","3,683",824.185,281.097,0.124,27,0.794,0.366322836
egpended,8,1,"14,773","2,110.43","2,171",841.03,372.705,-0.251,33,0.971,0.744624569
spigat,6,1,"7,263","1,452.60","1,068",748.345,276.525,0.039,29,0.879,0.257179363
smallash,8,1,"11,653","1,664.71","1,068",956.462,325.692,-0.734,26,0.788,0.462263368
tyena,5,1,"6,127","1,531.75",389,693.688,154.014,0.298,32,0.941,0.883068719
dileting,8,2,"23,670","3,381.43","3,996","1,033.89",445.033,-0.692,28,0.875,0.7577433
ezulated,8,1,"16,160","2,308.57","1,959",786.226,274.6,0.028,31,0.912,0.828625638
peanimate,9,1,"19,621","2,452.63","3,394",817.345,263.706,0.001,29,0.967,0.021655141
nopping,7,6,"13,691","2,281.83","2,543",840.677,452.5,-0.064,31,0.939,0.998452575
markot,6,1,"5,859","1,171.80","1,882",809.862,246.153,0.053,29,0.879,0.067830306
lindo,5,3,"11,993","2,998.25","1,422",880.9,282.246,-0.331,30,0.882,0.398703027
beartiset,9,0,"17,562","2,195.25","2,887",908.586,488.124,-0.302,29,0.967,0.350925546
huzzles,7,2,"8,340","1,390.00","1,691",896.13,271.936,-0.273,23,0.697,0.007984603
ameld,5,1,"4,749","1,187.25",413,805.7,297.518,-0.215,30,0.909,0.083980316
tharcely,8,0,"10,775","1,539.29","1,706",682.515,112.966,0.276,33,0.97,0.055608038
doxing,6,3,"11,643","2,328.60","1,197",771.939,240.349,0.007,33,1,0.455203178
parlayid,8,1,"7,778","1,111.14","2,050",915.867,379.699,-0.216,30,0.968,0.159460806
prawls,6,1,"5,180","1,036.00","1,849",826.417,352.019,-0.124,24,0.727,0.800132925
vergas,6,1,"10,445","2,089.00","1,135",831.407,244.058,-0.137,27,0.818,0.612400444
frader,6,3,"13,302","2,660.40","3,039",735.733,260.128,0.136,30,0.882,0.027798332
congraks,8,1,"15,427","2,203.86","3,724",738.667,170.476,0.1,33,0.971,0.851499712
ephically,9,1,"12,632","1,579.00","1,261",975.583,395.651,-0.603,24,0.793,0.332538028
draze,5,4,"4,114","1,028.50","1,098",854.565,270.019,-0.094,23,0.719,0.280555098
bulmed,6,2,"7,884","1,576.80","1,535",810.034,318.987,-0.052,29,0.824,0.888172684
bumbo,5,2,"2,342",585.5,799,858.815,322.454,-0.253,27,0.812,0.249311898
