Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,
tusied,6,1,"9,643","1,928.60","1,479",803.433,428.583,0.071,30,0.938,0.693388745
pastnoss,8,1,"9,394","1,342.00","2,112",867.903,391.04,-0.207,31,0.969,0.52195048
walsams,7,1,"6,021","1,003.50","1,089",811.906,238.469,0.008,32,0.97,0.177617765
chight,6,0,"4,232",846.4,"1,147",650.941,156.156,0.292,34,1,0.981050984
incidonts,9,1,"19,358","2,419.75","2,619",870.258,323.691,-0.392,31,0.912,0.591523664
troven,6,1,"10,089","2,017.80","2,260",759.714,239.927,-0.014,28,0.848,0.014335555
shazer,6,2,"9,210","1,842.00","2,185",775.581,193.275,-0.065,31,0.939,0.485788357
flieves,7,0,"11,344","1,890.67","1,499",699.031,216.077,0.232,32,0.97,0.36431388
brials,6,1,"8,048","1,609.60","1,348",782,363.646,-0.174,26,0.812,0.982714445
plymie,6,0,"5,088","1,017.60",755,758.5,238.936,-0.226,30,0.938,0.458373299
bamps,5,4,"2,906",726.5,"1,141",703.31,146.553,0.112,29,0.853,0.430851288
gonesty,7,1,"15,998","2,666.33","2,589",703.206,155.557,0.202,34,0.971,0.489707034
rualify,7,1,"7,530","1,255.00","1,140",780.129,329.78,0.012,31,0.969,0.368507771
facienda,8,1,"10,243","1,463.29","1,733",726.31,196.716,0.083,29,0.853,0.852991851
capobly,7,1,"6,834","1,139.00","1,314",729.281,201.615,0.182,32,1,0.802027719
epthuse,7,1,"6,149","1,024.83",748,837.273,279.605,-0.161,33,0.971,0.730073326
eggays,6,0,"1,944",388.8,250,796.97,265.461,-0.159,33,0.971,0.576674493
nauling,7,3,"16,492","2,748.67","2,730",771.214,320.237,0.063,28,0.848,0.2889548
latirizes,9,1,"20,249","2,531.13","2,394",817.786,211.286,0.071,28,0.848,0.861677984
glapula,7,0,"6,778","1,129.67","1,266",732.871,218.486,0.093,31,0.969,0.431290142
haurded,7,0,"10,681","1,780.17","1,889",863.75,373.27,-0.129,32,0.97,0.480215629
