demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ_late,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,9,0,9,0,,,,,,refebs,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.46848928183317184,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,10,0,10,0,,,,,,teliever,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.6170262759551406,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,11,0,11,0,,,,,,gonesty,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.526944313198328,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,12,0,12,0,,,,,,plogging,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.5916624898090959,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,13,0,13,0,,,,,,galashes,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.5343155437149107,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,14,0,14,0,,,,,,despise,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.6150011327117682,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,15,0,15,0,,,,,,harmful,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.49300387827679515,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,16,0,16,0,,,,,,nostril,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5917042046785355,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,17,0,17,0,,,,,,portify,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.646421808283776,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,18,0,18,0,,,,,,huffle,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.6351459613069892,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,19,0,19,0,,,,,,season,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5038291420787573,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
