demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,blankQResp.rt,PM_corr,lateQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,12,0,12,0,,,,,,slutches,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.5720061280298978,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,13,0,13,0,,,,,,tipoff,w,g,upper,,,,,,,4,w,LoDemTar,None,h,0,0.5553798901382834,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,14,0,14,0,,,,,,terming,w,g,upper,,,,,,,4,w,LoDemTar,None,h,0,0.6827245557215065,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,15,0,15,0,,,,,,finstrel,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.5407999840099365,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,16,0,16,0,,,,,,aqueduct,w,g,upper,,,,,,,4,w,LoDemTar,None,h,0,0.44477799837477505,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,17,0,17,0,,,,,,frogmy,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.651319770840928,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,18,0,18,0,,,,,,manage,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.639935664832592,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,19,0,19,0,,,,,,gunrunker,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.6527023110538721,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,20,0,20,0,,,,,,graiking,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.4806220745667815,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,21,0,21,0,,,,,,correct,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.5480934134684503,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,22,0,22,0,,,,,,expounded,w,g,upper,,,,,,,4,w,LoDemTar,None,h,0,0.724805953912437,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,23,0,23,0,,,,,,octopus,target,q,upper,,,,,,,4,target,LoDemTar,None,g,0,0.5501096178777516,q,q,0.2469707946293056,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,24,0,24,0,,,,,,yellep,nw,h,upper,,,,,,,4,aftertar1,LoDemTar,None,h,1,0.5898553309962153,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,25,0,25,0,,,,,,gelfry,nw,h,upper,,,,,,,4,aftertar2,LoDemTar,None,g,0,0.6526745015289634,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,26,0,26,0,,,,,,bookend,w,g,upper,,,,,,,4,aftertar3,LoDemTar,None,h,0,0.6007044313009828,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,27,0,27,0,,,,,,butler,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.5906028829049319,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,28,0,28,0,,,,,,frigs,nw,h,upper,,,,,,,4,w,LoDemTar,None,h,1,0.5172756123356521,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,29,0,29,0,,,,,,single,w,g,upper,,,,,,,4,nw,LoDemTar,None,g,1,0.4786075255833566,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,0,0,0,0,,,,,,paying,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.4977704070042819,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,1,0,1,0,,,,,,smallash,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.564479295630008,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,2,0,2,0,,,,,,curtail,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5805284816306084,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,3,0,3,0,,,,,,ecistle,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.47580635896883905,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,4,0,4,0,,,,,,admire,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.6552416030317545,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,5,0,5,0,,,,,,derived,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5712112337350845,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,6,0,6,0,,,,,,gettle,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,g,0,0.49863515654578805,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,7,0,7,0,,,,,,ements,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,g,0,0.6133227590471506,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,8,0,8,0,,,,,,egpended,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.76331876963377,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,9,0,9,0,,,,,,bumbo,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6401379471644759,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,10,0,10,0,,,,,,surfaced,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5985392462462187,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,11,0,11,0,,,,,,subber,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.7339848156552762,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,12,0,12,0,,,,,,distrust,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5671655817423016,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,13,0,13,0,,,,,,allained,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6869307751767337,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,14,0,14,0,,,,,,goltish,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5859811727423221,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,15,0,15,0,,,,,,official,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5366576605010778,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,16,0,16,0,,,,,,dialogues,w,g,upper,,,,,,,3,w,LoDemNoTar,None,h,0,0.45758172450587153,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,17,0,17,0,,,,,,hangar,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.709376527229324,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,18,0,18,0,,,,,,childhood,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5987796017434448,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,19,0,19,0,,,,,,praiged,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,g,0,0.5325418226420879,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,20,0,20,0,,,,,,deakers,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5497477604076266,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,21,0,21,0,,,,,,trises,nw,h,upper,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5024166158400476,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,24,0,24,0,22,0,22,0,,,,,,provide,w,g,upper,,,,,,,3,w,LoDemNoTar,None,g,1,0.5523426719009876,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
