demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,4,0,4,0,,,,,,intended,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5625118436291814,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,5,0,5,0,,,,,,scack,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.570545797701925,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,6,0,6,0,,,,,,talent,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5298619819805026,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,7,0,7,0,,,,,,coverall,w,g,upper,,,,,,,1,w,HiDemTar,None,h,0,1.0111681572161615,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,8,0,8,0,,,,,,pircus,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.8331162827089429,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,9,0,9,0,,,,,,tracing,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5344582032412291,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,10,0,10,0,,,,,,grested,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5351083809509873,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,11,0,11,0,,,,,,managed,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5102500906214118,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,12,0,12,0,,,,,,urique,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5851219790056348,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,13,0,13,0,,,,,,moyeur,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.47024180786684155,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
