demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,2,0,2,0,,,,,,rivet,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,1.1674621265847236,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,3,0,3,0,,,,,,lifetime,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.5753224105574191,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,4,0,4,0,,,,,,fidelity,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.5994420426432043,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,5,0,5,0,,,,,,spiud,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6786679525393993,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,6,0,6,0,,,,,,pakened,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.7307982596103102,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,7,0,7,0,,,,,,rualify,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6687253166455775,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,8,0,8,0,,,,,,target,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.7127212816849351,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,9,0,9,0,,,,,,solidity,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.9713897192850709,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,10,0,10,0,,,,,,chone,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5144542243797332,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,11,0,11,0,,,,,,unrealon,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6770096328109503,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,12,0,12,0,,,,,,virulent,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,1.3130304331425577,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,13,0,13,0,,,,,,micron,w,g,lower,,,,,,,3,w,LoDemNoTar,None,h,0,0.6996457488276064,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,14,0,14,0,,,,,,showdown,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.6389702442102134,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
