demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",male,American Indian or Alaska Native,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,5,0,5,0,,,,,,fards,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.8182037618244067,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,6,0,6,0,,,,,,rualify,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.7345070498849964,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,7,0,7,0,,,,,,addition,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,1.3265375730843516,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,8,0,8,0,,,,,,lancos,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.9998696185211884,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,9,0,9,0,,,,,,martial,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.678609027308994,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,10,0,10,0,,,,,,incorrect,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.8497915899788495,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,11,0,11,0,,,,,,trembles,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.7024429004522972,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,12,0,12,0,,,,,,frogmy,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.6557172319444362,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,13,0,13,0,,,,,,etuip,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.635346498223953,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,14,0,14,0,,,,,,terrify,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.679176205812837,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,15,0,15,0,,,,,,obtuse,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.7629121584177483,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,16,0,16,0,,,,,,prawls,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.7876862982229795,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,17,0,17,0,,,,,,frequency,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.6978828335704748,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,18,0,18,0,,,,,,ilterfere,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.7889211716974387,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,19,0,19,0,,,,,,blipover,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.8596102075534873,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,20,0,20,0,,,,,,aviation,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,1.1037254664261127,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,21,0,21,0,,,,,,uncounted,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,1.1857378483691718,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,22,0,22,0,,,,,,warden,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.583901385354693,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,23,0,23,0,,,,,,partner,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.6127864373702323,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,24,0,24,0,,,,,,mystery,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.7068722657568287,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,25,0,25,0,,,,,,graiking,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.6608496088010725,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,26,0,26,0,,,,,,dialect,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.7208603547042003,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,27,0,27,0,,,,,,tusied,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.6262272699968889,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,28,0,28,0,,,,,,mantos,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.6314200171036646,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,29,0,29,0,,,,,,blanned,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.660867719881935,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,0,0,0,0,,,,,,embrace,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.608615154895233,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,1,0,1,0,,,,,,catgup,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.7666792620584602,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,2,0,2,0,,,,,,diatonic,w,g,upper,,,,,,,1,w,HiDemTar,h,0,1.0387054989842,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,3,0,3,0,,,,,,serfume,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.6274376935180044,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
